statement,implicit_need
"Have you ever just stared blankly at a car's headlights as it speeds towards you, wishing that it would it would hit and kill you instantaneously?. You close your eyes accepting the promised bliss of death... and the car stops. You slowly sink bank to reality as you open your eyes again and walk on.",need to escape current situation
"Have you ever just stared blankly at a car's headlights as it speeds towards you, wishing that it would it would hit and kill you instantaneously?. You close your eyes accepting the promised bliss of death... and the car stops. You slowly sink bank to reality as you open your eyes again and walk on.",need to find new meaning
Wish my parents would die so I could commit suicide. I don't want to be alive.,need for silence and solitude
Wish my parents would die so I could commit suicide. I don't want to be alive.,need to not feel responsible for others' opinions
Wish my parents would die so I could commit suicide. I don't want to be alive.,need to be free from judgment
"My dog ran away today.. It's my fault, I left the gate wide open. I feel like shit.",need to not be blamed for something going wrong
"My dog ran away today.. It's my fault, I left the gate wide open. I feel like shit.",need to feel in control of my situation
"My dog ran away today.. It's my fault, I left the gate wide open. I feel like shit.",need to not have made a mistake that caused pain
I miss my mum. I'm just crying a lot today and.I'm really depressed because I miss my mum,need to have my mother near me
I miss my mum. I'm just crying a lot today and.I'm really depressed because I miss my mum,need to process grief with others
I miss my mum. I'm just crying a lot today and.I'm really depressed because I miss my mum,need to cope with feelings of loss
"Maybe I'm not depressed. Maybe I just don't like living.. I mean, I don't seem to have ANY depressive symptoms except being generally dissatisfied with life and being suicidal. None of the drugs worked. None of the shrinks helped. Maybe living really is just a shitty, boring thing in aggregate.",need to not be disappointed by others
